dataset,model,threshold,precision,recall,dice,tp,fp,fn
Thebe,Hybrid DSA,0.9975,0.7241379310344828,4.2584994325549507e-07,8.516993856448988e-07,21,8,49313124
Thebe,Hybrid DSA,0.9875,0.42674383186110265,2.8410274785759455e-05,5.681676702132604e-05,1401,1882,49311744
Thebe,Hybrid DSA,0.9775,0.43140894746612213,0.00014138218116082436,0.00028267172459308466,6972,9189,49306173
Thebe,Hybrid DSA,0.9675,0.41879769714821263,0.00038058817785805387,0.0007604852542626408,18768,26046,49294377
Thebe,Hybrid DSA,0.9575,0.4151644636689099,0.0008018957217188237,0.0016006996705863381,39544,55705,49273601
Thebe,Hybrid DSA,0.9475,0.41420043983663213,0.001470439575492498,0.0029304757638233428,72512,102553,49240633
Thebe,Hybrid DSA,0.9375,0.4154005991238247,0.0024323940401692083,0.004836467957880646,119949,168806,49193196
Thebe,Hybrid DSA,0.9275,0.41386293897033755,0.00369230151514368,0.007319303452378189,182079,257871,49131066
Thebe,Hybrid DSA,0.9175,0.4124942574257426,0.005280275674974695,0.010427075951165292,260387,370863,49052758
Thebe,Hybrid DSA,0.9075,0.40999709628868675,0.007186846428067,0.014126076606839918,354406,510005,48958739
Thebe,Hybrid DSA,0.8975,0.40684024206199926,0.00940820140350002,0.01839110750541578,463948,676421,48849197
Thebe,Hybrid DSA,0.8875,0.403003196114753,0.011920533561588903,0.023156126204017503,587839,870807,48725306
Thebe,Hybrid DSA,0.8775,0.398492291412676,0.014708066175864468,0.02836905092180905,725301,1094812,48587844
Thebe,Hybrid DSA,0.8675,0.3933538745068679,0.017728335923413524,0.03392756702721239,874240,1348288,48438905
Thebe,Hybrid DSA,0.8575,0.3871784655487949,0.020927361254286257,0.03970844367448606,1031994,1633428,48281151
Thebe,Hybrid DSA,0.8475,0.38041540819353037,0.02426663316647113,0.04562298406167031,1196664,1949013,48116481
Thebe,Hybrid DSA,0.8375,0.3731004378262904,0.027699227051935137,0.05156987216377426,1365936,2295105,47947209
Thebe,Hybrid DSA,0.8275,0.3653531718329624,0.0311702691037045,0.0574400174528111,1537104,2670069,47776041
Thebe,Hybrid DSA,0.8175,0.3573280446404934,0.03465104486846256,0.0631757684988185,1708752,3073274,47604393
Thebe,Hybrid DSA,0.8075,0.3491600671366629,0.03811028479323312,0.06871989828651479,1879338,3503116,47433807
Thebe,Hybrid DSA,0.7975,0.3411218175150462,0.04153594340819269,0.07405477141464303,2048268,3956238,47264877
Thebe,Hybrid DSA,0.7875,0.3330906648179738,0.044906626823334836,0.07914330877011291,2214487,4433814,47098658
Thebe,Hybrid DSA,0.7775,0.3254559123129495,0.04824918386365339,0.08403943276855798,2379319,4931407,46933826
Thebe,Hybrid DSA,0.7675,0.31802447413521784,0.05153386586882666,0.08869522789234893,2541297,5449588,46771848
Thebe,Hybrid DSA,0.7575,0.3108573119674435,0.054784946285620195,0.09315280580529549,2701618,5989244,46611527
Thebe,Hybrid DSA,0.7475,0.3040072262589498,0.05801183436992307,0.09743142709866123,2860746,6549379,46452399
Thebe,Hybrid DSA,0.7375,0.297443959738718,0.06122093814945285,0.10154212675571103,3018997,7130804,46294148
Thebe,Hybrid DSA,0.7275,0.2911569157524197,0.0644528755973686,0.10554209094791513,3178374,7737987,46134771
Thebe,Hybrid DSA,0.7175,0.2849882663118079,0.06767069916145077,0.10937113257988124,3337055,8372392,45976090
Thebe,Hybrid DSA,0.7075,0.2789794432848229,0.07089657331731732,0.11306111660324548,3496133,9035733,45817012
Thebe,Hybrid DSA,0.6975,0.2731555388974781,0.07416014533244634,0.11665038685433676,3657070,9731163,45656075
Thebe,Hybrid DSA,0.6875,0.26747116624309225,0.0774497955869576,0.12011787883822309,3819293,10459977,45493852
Thebe,Hybrid DSA,0.6775,0.26186597549159457,0.08078371395699868,0.12347599726838307,3983699,11229041,45329446
Thebe,Hybrid DSA,0.6675,0.25642481175045817,0.08417412841951168,0.12674340691407257,4150891,12036665,45162254
Thebe,Hybrid DSA,0.6575,0.2510906010577931,0.08761751050353815,0.1299049690549692,4320695,12887018,44992450
Thebe,Hybrid DSA,0.6475,0.2458096954866472,0.09110396426753962,0.13293754685143488,4492623,13784211,44820522
Thebe,Hybrid DSA,0.6375,0.2406066923779258,0.09465092928062081,0.1358575945987093,4667535,14731489,44645610
Thebe,Hybrid DSA,0.6275,0.23546231613595786,0.09825295060779433,0.1386503383141146,4845162,15732067,44467983
Thebe,Hybrid DSA,0.6175,0.23045091426244277,0.10194395429453952,0.14135643894080094,5027177,16787347,44285968
Thebe,Hybrid DSA,0.6075,0.2255348361607939,0.1057076972073065,0.14394750534099504,5212779,17900187,44100366
Thebe,Hybrid DSA,0.5975,0.22068221325394352,0.10952258267040157,0.14639209510772738,5400903,19072764,43912242
Thebe,Hybrid DSA,0.5875,0.21593841329061528,0.11344026019837104,0.1487413227519108,5594096,20311883,43719049
Thebe,Hybrid DSA,0.5775,0.2113056195211963,0.1174460886645944,0.15097727499312877,5791636,21617176,43521509
Thebe,Hybrid DSA,0.5675,0.20675531565160116,0.12154071698327089,0.15308859569647348,5993555,22995083,43319590
Thebe,Hybrid DSA,0.5575,0.2023141442064544,0.12573475084584446,0.15508614049947264,6200376,24446893,43112769
Thebe,Hybrid DSA,0.5475,0.19796149897365464,0.13002435760282577,0.15695687004808292,6411910,25977772,42901235
Thebe,Hybrid DSA,0.5375,0.1936965398715883,0.13441882483869158,0.15870309083422174,6628615,27593034,42684530
Thebe,Hybrid DSA,0.5275,0.18953252898502448,0.13892095099592613,0.16032735699916836,6850629,29294243,42462516
Thebe,Hybrid DSA,0.5175,0.1854503362604476,0.14352889072477532,0.16181861263352185,7077861,31087942,42235284
Thebe,Hybrid DSA,0.5075,0.1814557026100369,0.1482571229233098,0.1631850405787199,7311025,32979938,42002120
Thebe,Hybrid DSA,0.4975,0.17758479351657783,0.15315137576400775,0.1644655648095011,7552376,34975905,41760769
Thebe,Hybrid DSA,0.4875,0.1737801092942929,0.15815997945375418,0.165602525558873,7799366,37081294,41513779
Thebe,Hybrid DSA,0.4775,0.17006607618259761,0.16331941513768794,0.16662448018902906,8053794,39303058,41259351
Thebe,Hybrid DSA,0.4675,0.1664342057009248,0.1686282633159982,0.16752405093933126,8315590,41647637,40997555
