model,inline_local_index,valid_voxels,truth_voxels,predicted_voxels,tp,fp,fn,precision,recall,dice,iou,tolerant_precision_3px,tolerant_recall_3px,tolerant_dice_3px
dip_steered_coherence,79,5746,939,224,93,131,846,0.41517857142857145,0.09904153354632587,0.15993121238177127,0.08691588785046729,0.7410714285714286,0.22790202342917998,0.34859918551592173
dip_steered_coherence,80,15016,2261,3599,617,2982,1644,0.17143651014170602,0.27288810260946483,0.210580204778157,0.11768071714667175,0.6171158655181995,0.5864661654135338,0.6014007620006422
dip_steered_coherence,81,4228,613,261,93,168,520,0.3563218390804598,0.15171288743882544,0.2128146453089245,0.11907810499359796,0.7701149425287356,0.2642740619902121,0.39351037795703797
dip_steered_coherence,82,2005,297,219,67,152,230,0.3059360730593607,0.2255892255892256,0.2596899224806202,0.1492204899777283,0.6986301369863014,0.37373737373737376,0.48696774193548387
dip_steered_coherence,83,3828,612,300,95,205,517,0.31666666666666665,0.15522875816993464,0.20833333333333334,0.11627906976744186,0.6833333333333333,0.38235294117647056,0.49034038638454464
dip_steered_coherence,84,5559,855,344,104,240,751,0.3023255813953488,0.1216374269005848,0.17347789824854046,0.09497716894977169,0.7267441860465116,0.2654970760233918,0.3889143977138001
dip_steered_coherence,85,3872,594,411,142,269,452,0.34549878345498786,0.23905723905723905,0.28258706467661693,0.1645422943221321,0.7128953771289538,0.40235690235690236,0.5143919110004371
dip_steered_coherence,86,1922,284,232,77,155,207,0.33189655172413796,0.2711267605633803,0.29844961240310075,0.17539863325740318,0.6336206896551724,0.36619718309859156,0.46414475681583583
dip_steered_coherence,87,3887,577,341,118,223,459,0.3460410557184751,0.2045060658578856,0.2570806100217865,0.1475,0.6510263929618768,0.38128249566724437,0.48091219709128863
dip_steered_coherence,88,14811,2358,3970,550,3420,1808,0.1385390428211587,0.23324851569126379,0.1738305941845765,0.09518864659051575,0.5632241813602015,0.6162001696352841,0.5885224191003304
dip_steered_coherence,89,5312,762,420,120,300,642,0.2857142857142857,0.15748031496062992,0.20304568527918782,0.11299435028248588,0.5119047619047619,0.3556430446194226,0.41970106248874484
dip_steered_coherence,90,3477,466,393,82,311,384,0.20865139949109415,0.1759656652360515,0.1909196740395809,0.10553410553410554,0.4173027989821883,0.43776824034334766,0.4272906076783571
dip_steered_coherence,91,5595,794,375,118,257,676,0.31466666666666665,0.1486146095717884,0.2018819503849444,0.11227402473834443,0.504,0.4156171284634761,0.45556139889560876
dip_steered_coherence,92,6369,1157,324,104,220,1053,0.32098765432098764,0.0898876404494382,0.14044564483457123,0.07552650689905592,0.5895061728395061,0.18928262748487468,0.2865559372891283
dip_steered_coherence,93,5923,892,243,69,174,823,0.2839506172839506,0.0773542600896861,0.12158590308370044,0.0647279549718574,0.49794238683127573,0.23318385650224216,0.31762538176127614
dip_steered_coherence,94,3785,546,260,52,208,494,0.2,0.09523809523809523,0.12903225806451613,0.06896551724137931,0.38461538461538464,0.29304029304029305,0.33264033264033266
dip_steered_coherence,95,6033,917,451,135,316,782,0.29933481152993346,0.14721919302071973,0.19736842105263158,0.10948905109489052,0.5698447893569845,0.3489640130861505,0.43285463526575774
dip_steered_coherence,96,13426,2167,3845,702,3143,1465,0.1825747724317295,0.3239501615136133,0.23353293413173654,0.13220338983050847,0.6369310793237971,0.6063682510383018,0.6212740169159866
dip_steered_coherence,97,5175,842,207,127,80,715,0.6135265700483091,0.1508313539192399,0.24213536701620592,0.13774403470715835,0.7874396135265701,0.26009501187648454,0.39103073190235454
dip_steered_coherence,98,3075,521,262,119,143,402,0.4541984732824427,0.22840690978886757,0.30395913154533843,0.17921686746987953,0.7519083969465649,0.32821497120921306,0.4569618621938565
dip_steered_coherence,99,6251,984,734,225,509,759,0.3065395095367847,0.22865853658536586,0.2619324796274738,0.1507032819825854,0.6975476839237057,0.4258130081300813,0.5288147960076612
dip_steered_coherence,100,5643,978,452,134,318,844,0.29646017699115046,0.13701431492842536,0.1874125874125874,0.10339506172839506,0.7721238938053098,0.26380368098159507,0.3932497412313457
dip_steered_coherence,101,4441,664,436,142,294,522,0.3256880733944954,0.21385542168674698,0.2581818181818182,0.14822546972860126,0.8096330275229358,0.42168674698795183,0.5545456585650487
dip_steered_coherence,102,2275,347,441,140,301,207,0.31746031746031744,0.4034582132564842,0.3553299492385787,0.21604938271604937,0.8526077097505669,0.7060518731988472,0.7724397003148622
dip_steered_coherence,103,5418,799,1075,274,801,525,0.25488372093023254,0.3429286608260325,0.29242262540021347,0.17125,0.6893023255813954,0.6007509386733417,0.6419874753961657
dip_steered_coherence,104,14871,2351,3586,674,2912,1677,0.1879531511433352,0.2866865163760102,0.2270506990062321,0.12806384191525746,0.7194645844952593,0.6571671629094002,0.6869062851382265
